"id","level","dispname","name"
"1","0","素材別","素材別"
"2","1","お肉","素材別お肉"
"3","2","牛肉","素材別お肉牛肉"
"4","3","薄切り肉","素材別お肉牛肉薄切り肉"
"5","3","かたまり肉","素材別お肉牛肉かたまり肉"
"6","3","ステーキ用","素材別お肉牛肉ステーキ用"
"7","3","牛すじ肉","素材別お肉牛肉牛すじ肉"
"8","3","牛すね肉","素材別お肉牛肉牛すね肉"
"9","3","モツ","素材別お肉牛肉モツ"
"10","2","豚肉","素材別お肉豚肉"
"11","3","薄切り肉","素材別お肉豚肉薄切り肉"
"12","3","かたまり肉","素材別お肉豚肉かたまり肉"
"13","3","ステーキ用","素材別お肉豚肉ステーキ用"
"14","3","スペアリブ","素材別お肉豚肉スペアリブ"
"15","3","豚トロ","素材別お肉豚肉豚トロ"
"16","2","鶏肉","素材別お肉鶏肉"
"17","3","鶏もも肉","素材別お肉鶏肉鶏もも肉"
"18","3","鶏むね肉","素材別お肉鶏肉鶏むね肉"
"19","3","手羽元","素材別お肉鶏肉手羽元"
"20","3","手羽先","素材別お肉鶏肉手羽先"
"21","3","鶏皮","素材別お肉鶏肉鶏皮"
"22","3","ささみ","素材別お肉鶏肉ささみ"
"23","3","砂肝","素材別お肉鶏肉砂肝"
"24","3","レバー","素材別お肉鶏肉レバー"
"25","3","せせり","素材別お肉鶏肉せせり"
"26","2","ひき肉","素材別お肉ひき肉"
"27","2","加工肉","素材別お肉加工肉"
"28","3","ウインナー","素材別お肉加工肉ウインナー"
"29","3","ベーコン","素材別お肉加工肉ベーコン"
"30","3","ハム","素材別お肉加工肉ハム"
"31","3","ソーセージ","素材別お肉加工肉ソーセージ"
"32","1","お魚","素材別お魚"
"33","2","いわし","素材別お魚いわし"
"34","2","さば","素材別お魚さば"
"35","2","さんま","素材別お魚さんま"
"36","2","あじ","素材別お魚あじ"
"37","2","ぶり","素材別お魚ぶり"
"38","2","まぐろ","素材別お魚まぐろ"
"39","2","鮭","素材別お魚鮭"
"40","2","たら","素材別お魚たら"
"41","2","うなぎ","素材別お魚うなぎ"
"42","2","赤魚","素材別お魚赤魚"
"43","2","かれい","素材別お魚かれい"
"44","2","さわら","素材別お魚さわら"
"45","2","かつお","素材別お魚かつお"
"46","2","ししゃも","素材別お魚ししゃも"
"47","2","ほっけ","素材別お魚ほっけ"
"48","2","鯛","素材別お魚鯛"
"49","2","えび","素材別お魚えび"
"50","2","いか","素材別お魚いか"
"51","2","たこ","素材別お魚たこ"
"52","2","貝","素材別お魚貝"
"53","3","あさり","素材別お魚貝あさり"
"54","3","しじみ","素材別お魚貝しじみ"
"55","3","ほたて","素材別お魚貝ほたて"
"56","3","かき","素材別お魚貝かき"
"57","3","ばい貝","素材別お魚貝ばい貝"
"58","2","しらす","素材別お魚しらす"
"59","2","もずく","素材別お魚もずく"
"60","2","明太子&たらこ","素材別お魚明太子&たらこ"
"61","2","いくら＆筋子","素材別お魚いくら＆筋子"
"62","2","中華くらげ","素材別お魚中華くらげ"
"63","2","魚肉ソーセージ","素材別お魚魚肉ソーセージ"
"64","2","ちくわ","素材別お魚ちくわ"
"65","2","かにかま","素材別お魚かにかま"
"66","2","かまぼこ","素材別お魚かまぼこ"
"67","2","はんぺん","素材別お魚はんぺん"
"68","2","さつまあげ","素材別お魚さつまあげ"
"69","2","がんも","素材別お魚がんも"
"70","1","野菜","素材別野菜"
"71","2","じゃがいも","素材別野菜じゃがいも"
"72","2","玉ねぎ","素材別野菜玉ねぎ"
"73","2","にんじん","素材別野菜にんじん"
"74","2","キャベツ","素材別野菜キャベツ"
"75","2","きゅうり","素材別野菜きゅうり"
"76","2","レタス","素材別野菜レタス"
"77","2","大根","素材別野菜大根"
"78","2","なす","素材別野菜なす"
"79","2","ピーマン","素材別野菜ピーマン"
"80","2","トマト","素材別野菜トマト"
"81","2","もやし","素材別野菜もやし"
"82","2","ねぎ","素材別野菜ねぎ"
"83","2","きのこ","素材別野菜きのこ"
"84","3","しいたけ","素材別野菜きのこしいたけ"
"85","3","しめじ","素材別野菜きのこしめじ"
"86","3","えのき","素材別野菜きのこえのき"
"87","3","まいたけ","素材別野菜きのこまいたけ"
"88","3","ひらたけ","素材別野菜きのこひらたけ"
"89","3","エリンギ","素材別野菜きのこエリンギ"
"90","3","なめこ","素材別野菜きのこなめこ"
"91","3","マッシュルーム","素材別野菜きのこマッシュルーム"
"92","2","白菜","素材別野菜白菜"
"93","2","ほうれんそう","素材別野菜ほうれんそう"
"94","2","小松菜","素材別野菜小松菜"
"95","2","チンゲン菜","素材別野菜チンゲン菜"
"96","2","にら","素材別野菜にら"
"97","2","水菜","素材別野菜水菜"
"98","2","ごぼう","素材別野菜ごぼう"
"99","2","かぼちゃ","素材別野菜かぼちゃ"
"100","2","ブロッコリー","素材別野菜ブロッコリー"
"101","2","れんこん","素材別野菜れんこん"
"102","2","たけのこ","素材別野菜たけのこ"
"103","2","大葉","素材別野菜大葉"
"104","2","アスパラガス","素材別野菜アスパラガス"
"105","2","オクラ","素材別野菜オクラ"
"106","2","にんにくの芽","素材別野菜にんにくの芽"
"107","2","パプリカ","素材別野菜パプリカ"
"108","2","ゴーヤ","素材別野菜ゴーヤ"
"109","2","さつまいも","素材別野菜さつまいも"
"110","2","栗","素材別野菜栗"
"111","2","とうもろこし","素材別野菜とうもろこし"
"112","2","里芋","素材別野菜里芋"
"113","2","セロリ","素材別野菜セロリ"
"114","2","長いも","素材別野菜長いも"
"115","2","かぶ","素材別野菜かぶ"
"116","2","ズッキーニ","素材別野菜ズッキーニ"
"117","2","アボカド","素材別野菜アボカド"
"118","2","空芯菜","素材別野菜空芯菜"
"119","2","ふき","素材別野菜ふき"
"120","2","冬瓜","素材別野菜冬瓜"
"121","2","モロヘイヤ","素材別野菜モロヘイヤ"
"122","2","春菊","素材別野菜春菊"
"123","2","菜の花","素材別野菜菜の花"
"124","2","かいわれ大根","素材別野菜かいわれ大根"
"125","2","豆苗","素材別野菜豆苗"
"126","2","豆","素材別野菜豆"
"127","3","枝豆","素材別野菜豆枝豆"
"128","3","そら豆","素材別野菜豆そら豆"
"129","3","いんげん豆","素材別野菜豆いんげん豆"
"130","3","絹さや","素材別野菜豆絹さや"
"131","3","スナップエンドウ","素材別野菜豆スナップエンドウ"
"132","3","大豆","素材別野菜豆大豆"
"133","2","しょうが","素材別野菜しょうが"
"134","2","にんにく","素材別野菜にんにく"
"135","2","みょうが","素材別野菜みょうが"
"136","2","ししとう＆唐辛子","素材別野菜ししとう＆唐辛子"
"137","2","バジル","素材別野菜バジル"
"138","1","卵","素材別卵"
"139","1","キムチ","素材別キムチ"
"140","1","梅干し","素材別梅干し"
"141","1","豆腐など","素材別豆腐など"
"142","2","豆腐","素材別豆腐など豆腐"
"143","2","油揚げ","素材別豆腐など油揚げ"
"144","2","厚揚げ","素材別豆腐など厚揚げ"
"145","2","納豆","素材別豆腐など納豆"
"146","2","焼き豆腐","素材別豆腐など焼き豆腐"
"147","2","高野豆腐","素材別豆腐など高野豆腐"
"148","2","おから","素材別豆腐などおから"
"149","1","チーズ","素材別チーズ"
"150","2","とろけるチーズ","素材別チーズとろけるチーズ"
"151","2","切れてるチーズ","素材別チーズ切れてるチーズ"
"152","2","スライスチーズ","素材別チーズスライスチーズ"
"153","2","粉チーズ","素材別チーズ粉チーズ"
"154","2","クリームチーズ","素材別チーズクリームチーズ"
"155","2","モッツァレラチーズ","素材別チーズモッツァレラチーズ"
"156","2","カマンベールチーズ","素材別チーズカマンベールチーズ"
"157","2","ゴルゴンゾーラ","素材別チーズゴルゴンゾーラ"
"158","1","こんにゃく","素材別こんにゃく"
"159","2","板こんにゃく","素材別こんにゃく板こんにゃく"
"160","2","糸こんにゃく","素材別こんにゃく糸こんにゃく"
"161","2","玉こんにゃく","素材別こんにゃく玉こんにゃく"
"162","1","海藻＆乾物","素材別海藻＆乾物"
"163","2","わかめ","素材別海藻＆乾物わかめ"
"164","2","めかぶ","素材別海藻＆乾物めかぶ"
"165","2","ひじき","素材別海藻＆乾物ひじき"
"166","2","きくらげ","素材別海藻＆乾物きくらげ"
"167","2","のり","素材別海藻＆乾物のり"
"168","2","青のり","素材別海藻＆乾物青のり"
"169","2","かつおぶし","素材別海藻＆乾物かつおぶし"
"170","2","桜えび","素材別海藻＆乾物桜えび"
"171","2","天かす","素材別海藻＆乾物天かす"
"172","2","昆布","素材別海藻＆乾物昆布"
"173","3","塩昆布","素材別海藻＆乾物昆布塩昆布"
"174","3","とろろ昆布","素材別海藻＆乾物昆布とろろ昆布"
"175","3","きざみ昆布","素材別海藻＆乾物昆布きざみ昆布"
"176","3","昆布茶","素材別海藻＆乾物昆布昆布茶"
"177","3","昆布だし","素材別海藻＆乾物昆布昆布だし"
"178","2","切り干し大根","素材別海藻＆乾物切り干し大根"
"179","2","麩","素材別海藻＆乾物麩"
"180","2","春雨","素材別海藻＆乾物春雨"
"181","2","サラスパ","素材別海藻＆乾物サラスパ"
"182","2","マカロニ","素材別海藻＆乾物マカロニ"
"183","2","ラザニア","素材別海藻＆乾物ラザニア"
"184","2","ペンネ","素材別海藻＆乾物ペンネ"
"185","2","もち","素材別海藻＆乾物もち"
"186","1","缶詰など","素材別缶詰など"
"187","2","トマト缶","素材別缶詰などトマト缶"
"188","2","ツナ缶","素材別缶詰などツナ缶"
"189","2","さば缶","素材別缶詰などさば缶"
"190","2","さんま缶","素材別缶詰などさんま缶"
"191","2","かに缶","素材別缶詰などかに缶"
"192","2","アンチョビ","素材別缶詰などアンチョビ"
"193","2","オイルサーディン","素材別缶詰などオイルサーディン"
"194","2","ホワイトソース缶","素材別缶詰などホワイトソース缶"
"195","2","デミグラスソース缶","素材別缶詰などデミグラスソース缶"
"196","2","コーンクリーム缶","素材別缶詰などコーンクリーム缶"
"197","2","鮭フレーク","素材別缶詰など鮭フレーク"
"198","2","なめたけ","素材別缶詰などなめたけ"
"199","2","ミートソース","素材別缶詰などミートソース"
"200","1","皮","素材別皮"
"201","2","餃子の皮","素材別皮餃子の皮"
"202","2","春巻きの皮","素材別皮春巻きの皮"
"203","2","ライスペーパー","素材別皮ライスペーパー"
"204","2","しゅうまいの皮","素材別皮しゅうまいの皮"
"205","2","ワンタンの皮","素材別皮ワンタンの皮"
"206","1","冷凍食品","素材別冷凍食品"
"207","2","コーン","素材別冷凍食品コーン"
"208","2","ミックスベジタブル","素材別冷凍食品ミックスベジタブル"
"209","2","ポテト","素材別冷凍食品ポテト"
"210","2","シーフードミックス","素材別冷凍食品シーフードミックス"
"211","1","調味料","素材別調味料"
"212","2","みそ","素材別調味料みそ"
"213","3","白みそ","素材別調味料みそ白みそ"
"214","3","赤みそ","素材別調味料みそ赤みそ"
"215","2","豆板醤","素材別調味料豆板醤"
"216","2","甜麺醤","素材別調味料甜麺醤"
"217","2","コチュジャン","素材別調味料コチュジャン"
"218","2","オイスターソース","素材別調味料オイスターソース"
"219","2","芝麻醤","素材別調味料芝麻醤"
"220","2","ウェイパー","素材別調味料ウェイパー"
"221","2","花椒","素材別調味料花椒"
"222","2","クレイジーソルト","素材別調味料クレイジーソルト"
"223","2","カレー粉","素材別調味料カレー粉"
"224","2","バジル","素材別調味料バジル"
"225","2","オールスパイス","素材別調味料オールスパイス"
"226","2","ナツメグ","素材別調味料ナツメグ"
"227","2","オレガノ","素材別調味料オレガノ"
"228","2","サフラン","素材別調味料サフラン"
"229","2","ベーキングパウダー","素材別調味料ベーキングパウダー"
"230","2","ダシダ","素材別調味料ダシダ"
"231","2","白だし","素材別調味料白だし"
"232","2","はちみつ","素材別調味料はちみつ"
"233","2","トマトソース","素材別調味料トマトソース"
"234","2","トマトジュース","素材別調味料トマトジュース"
"235","2","焼肉のたれ","素材別調味料焼肉のたれ"
"236","2","キムチの素","素材別調味料キムチの素"
"237","2","ポン酢","素材別調味料ポン酢"
"238","2","バルサミコ酢","素材別調味料バルサミコ酢"
"239","2","ワインビネガー","素材別調味料ワインビネガー"
"240","2","スイートチリソース","素材別調味料スイートチリソース"
"241","2","ナンプラー","素材別調味料ナンプラー"
"242","2","わさび","素材別調味料わさび"
"243","2","からし＆マスタード","素材別調味料からし＆マスタード"
"244","2","柚子こしょう","素材別調味料柚子こしょう"
"245","2","明太マヨ","素材別調味料明太マヨ"
"246","2","塩こうじ","素材別調味料塩こうじ"
"247","2","生クリーム","素材別調味料生クリーム"
"248","2","ヨーグルト","素材別調味料ヨーグルト"
"249","2","マーマレード","素材別調味料マーマレード"
"250","2","ワイン","素材別調味料ワイン"
"251","3","白ワイン","素材別調味料ワイン白ワイン"
"252","3","赤ワイン","素材別調味料ワイン赤ワイン"
"253","0","料理","料理"
"254","1","お店の味","料理お店の味"
"255","1","おかず","料理おかず"
"256","2","中華料理","料理おかず中華料理"
"257","3","青椒肉絲","料理おかず中華料理青椒肉絲"
"258","3","八宝菜","料理おかず中華料理八宝菜"
"259","3","回鍋肉","料理おかず中華料理回鍋肉"
"260","3","酢豚＆酢鶏","料理おかず中華料理酢豚＆酢鶏"
"261","3","油淋鶏","料理おかず中華料理油淋鶏"
"262","3","麻婆豆腐","料理おかず中華料理麻婆豆腐"
"263","3","麻婆なす","料理おかず中華料理麻婆なす"
"264","3","麻婆春雨","料理おかず中華料理麻婆春雨"
"265","3","エビチリ＆エビマヨ","料理おかず中華料理エビチリ＆エビマヨ"
"266","2","揚げ物","料理おかず揚げ物"
"267","3","フライ","料理おかず揚げ物フライ"
"268","3","からあげ","料理おかず揚げ物からあげ"
"269","3","竜田揚げ","料理おかず揚げ物竜田揚げ"
"270","3","メンチカツ","料理おかず揚げ物メンチカツ"
"271","3","チキンナゲット","料理おかず揚げ物チキンナゲット"
"272","3","コロッケ","料理おかず揚げ物コロッケ"
"273","3","春巻き","料理おかず揚げ物春巻き"
"274","3","はさみ揚げ","料理おかず揚げ物はさみ揚げ"
"275","3","磯辺揚げ","料理おかず揚げ物磯辺揚げ"
"276","3","かき揚げ","料理おかず揚げ物かき揚げ"
"277","3","オニオンリング＆フライドポテト","料理おかず揚げ物オニオンリング＆フライドポテト"
"278","3","天ぷら","料理おかず揚げ物天ぷら"
"279","2","ハンバーグ","料理おかずハンバーグ"
"280","2","肉団子","料理おかず肉団子"
"281","2","肉詰め","料理おかず肉詰め"
"282","2","肉巻き","料理おかず肉巻き"
"283","2","野菜炒め","料理おかず野菜炒め"
"284","2","みそ炒め","料理おかずみそ炒め"
"285","2","しょうが焼き","料理おかずしょうが焼き"
"286","2","肉じゃが","料理おかず肉じゃが"
"287","2","しゅうまい","料理おかずしゅうまい"
"288","2","チャーシュー＆角煮","料理おかずチャーシュー＆角煮"
"289","2","おでん","料理おかずおでん"
"290","2","チヂミ","料理おかずチヂミ"
"291","2","グラタン","料理おかずグラタン"
"292","2","シチュー","料理おかずシチュー"
"293","1","ご飯もの","料理ご飯もの"
"294","2","炊き込みご飯","料理ご飯もの炊き込みご飯"
"295","2","丼物","料理ご飯もの丼物"
"296","3","牛丼","料理ご飯もの丼物牛丼"
"297","3","豚丼","料理ご飯もの丼物豚丼"
"298","3","カツ丼","料理ご飯もの丼物カツ丼"
"299","3","親子丼","料理ご飯もの丼物親子丼"
"300","3","そぼろ丼","料理ご飯もの丼物そぼろ丼"
"301","3","中華丼","料理ご飯もの丼物中華丼"
"302","3","天丼","料理ご飯もの丼物天丼"
"303","3","海鮮丼","料理ご飯もの丼物海鮮丼"
"304","3","みそ丼","料理ご飯もの丼物みそ丼"
"305","3","その他","料理ご飯もの丼物その他"
"306","2","チャーハン","料理ご飯ものチャーハン"
"307","2","天津飯","料理ご飯もの天津飯"
"308","2","オムライス","料理ご飯ものオムライス"
"309","2","カレーライス","料理ご飯ものカレーライス"
"310","2","ハヤシライス","料理ご飯ものハヤシライス"
"311","2","ドリア","料理ご飯ものドリア"
"312","2","パエリア","料理ご飯ものパエリア"
"313","2","おにぎり","料理ご飯ものおにぎり"
"314","2","寿司","料理ご飯もの寿司"
"315","2","雑炊＆リゾット","料理ご飯もの雑炊＆リゾット"
"316","2","その他","料理ご飯ものその他"
"317","1","汁もの","料理汁もの"
"318","2","味噌汁","料理汁もの味噌汁"
"319","2","スープ","料理汁ものスープ"
"320","1","麺もの","料理麺もの"
"321","2","中華麺","料理麺もの中華麺"
"322","2","うどん","料理麺ものうどん"
"323","2","冷たい麺","料理麺もの冷たい麺"
"324","2","焼きそば","料理麺もの焼きそば"
"325","2","そば","料理麺ものそば"
"326","2","そうめん","料理麺ものそうめん"
"327","2","インスタントラーメン","料理麺ものインスタントラーメン"
"328","2","ビーフン","料理麺ものビーフン"
"329","1","パスタ","料理パスタ"
"330","2","トマト系","料理パスタトマト系"
"331","2","クリーム系","料理パスタクリーム系"
"332","2","和風系","料理パスタ和風系"
"333","2","たらこ＆明太子","料理パスタたらこ＆明太子"
"334","2","カルボナーラ","料理パスタカルボナーラ"
"335","2","ミートソース","料理パスタミートソース"
"336","2","ナポリタン","料理パスタナポリタン"
"337","2","ペペロンチーノ","料理パスタペペロンチーノ"
"338","2","冷製パスタ","料理パスタ冷製パスタ"
"339","2","その他","料理パスタその他"
"340","1","粉もの","料理粉もの"
"341","1","鍋＆ホットプレート","料理鍋＆ホットプレート"
"342","1","おせち料理","料理おせち料理"
"343","1","ソース＆ドレッシング＆たれ","料理ソース＆ドレッシング＆たれ"
"344","0","お菓子","お菓子"
"345","1","ケーキ","お菓子ケーキ"
"346","1","クッキー","お菓子クッキー"
"347","1","タルト","お菓子タルト"
"348","1","パイ","お菓子パイ"
"349","1","カップケーキ","お菓子カップケーキ"
"350","1","マフィン","お菓子マフィン"
"351","1","スコーン","お菓子スコーン"
"352","1","マドレーヌ","お菓子マドレーヌ"
"353","1","ドーナツ","お菓子ドーナツ"
"354","1","シュークリーム＆エクレア","お菓子シュークリーム＆エクレア"
"355","1","パンケーキ","お菓子パンケーキ"
"356","1","プリン","お菓子プリン"
"357","1","ゼリー＆寒天","お菓子ゼリー＆寒天"
"358","1","ムース＆ババロア","お菓子ムース＆ババロア"
